104,84,"Bleu Cheese; Tomato Bisque Soup"
105,84,"Bleu Cheese; Chili"
106,147,"Buffalo; Ranch"
107,147,"Honey buffalo; Ranch"
108,147,"Teriyaki; Ranch"
109,147,"Chipotle BBQ; Ranch"
110,147,"Buffalo; Bleu cheese"
111,147,"Honey buffalo; Bleu cheese"
112,147,"Teriyaki; Bleu cheese"
113,147,"Chipotle BBQ; Bleu cheese"
114,148,"French fries"
115,148,"Fresh fruit"
116,148,"Broccoli"
117,148,"Homemade chips"
118,149,"French fries"
119,149,"Fresh fruit"
120,149,"Broccoli"
121,149,"Homemade chips"
122,150,"French fries"
123,150,"Fresh fruit"
124,150,"Broccoli"
125,150,"Homemade chips"
126,167,"French fries"
127,167,"Tater tots"
128,167,"Side salad"
129,167,"Mix of fries and salad"
130,167,"Mix of fries and tots"
131,167,"Mix of tots and salad"
132,168,"French fries"
133,168,"Tater tots"
134,168,"Side salad"
135,168,"Mix of fries and salad"
136,168,"Mix of fries and tots"
137,168,"Mix of tots and salad"
138,169,"French fries"
139,169,"Tater tots"
140,169,"Side salad"
141,169,"Mix of fries and salad"
142,169,"Mix of fries and tots"
143,169,"Mix of tots and salad"
144,170,"French fries"
145,170,"Tater tots"
146,170,"Side salad"
147,170,"Mix of fries and salad"
148,170,"Mix of fries and tots"
149,170,"Mix of tots and salad"
150,171,"French fries"
151,171,"Tater tots"
152,171,"Side salad"
153,171,"Mix of fries and salad"
154,171,"Mix of fries and tots"
155,171,"Mix of tots and salad"
156,172,"French fries"
157,172,"Tater tots"
158,172,"Side salad"
159,172,"Mix of fries and salad"
160,172,"Mix of fries and tots"
161,172,"Mix of tots and salad"
162,173,"French fries"
163,173,"Tater tots"
164,173,"Side salad"
165,173,"Mix of fries and salad"
166,173,"Mix of fries and tots"
167,173,"Mix of tots and salad"
168,174,"French fries"
169,174,"Tater tots"
170,174,"Side salad"
171,174,"Mix of fries and salad"
172,174,"Mix of fries and tots"
173,174,"Mix of tots and salad"
174,187,"Sushi rice; Ginger dressing"
175,187,"Sushi rice; Wasabi dressing"
176,187,"Sushi rice, Vinaigrette gochujang"
177,187,"Salad; Ginger dressing"
178,187,"Salad; Wasabi dressing"
179,187,"Salad, Vinaigrette gochujang"
180,188,"Sushi rice; Ginger dressing"
181,188,"Sushi rice; Wasabi dressing"
182,188,"Sushi rice, Vinaigrette gochujang"
183,188,"Salad; Ginger dressing"
184,188,"Salad; Wasabi dressing"
185,188,"Salad, Vinaigrette gochujang"
186,189,"Sushi rice; Ginger dressing"
187,189,"Sushi rice; Wasabi dressing"
188,189,"Sushi rice, Vinaigrette gochujang"
189,189,"Salad; Ginger dressing"
190,189,"Salad; Wasabi dressing"
191,189,"Salad; Vinaigrette gochujang"
192,289,"Biscuit"
193,289,"Toast"
194,291,"Biscuit"
195,291,"Toast"
196,292,"Mac and Cheese"
197,292,"Baked Beans"
198,292,"Dirty Rice"
199,292,"Cole Slaw"
200,292,"Collard Greens"
201,292,"Green Beans"
202,292,"Potato Salad"
203,293,"Mac and Cheese"
204,293,"Baked Beans"
205,293,"Dirty Rice"
206,293,"Cole Slaw"
207,293,"Collard Greens"
208,293,"Green Beans"
209,293,"Potato Salad"
210,294,"Mac and Cheese"
211,294,"Baked Beans"
212,294,"Dirty Rice"
213,294,"Cole Slaw"
214,294,"Collard Greens"
215,294,"Green Beans"
216,294,"Potato Salad"
217,295,"Mac and Cheese"
218,295,"Baked Beans"
219,295,"Dirty Rice"
220,295,"Cole Slaw"
221,295,"Collard Greens"
222,295,"Green Beans"
223,295,"Potato Salad"
224,309,"Garlic Mashed Potatoes"
225,309,"Roasted seasonal vegetables"
226,309,"Steamed broccoli"
227,309,"Beer battered onion rings"
228,325,"Garlic Mashed Potatoes"
229,325,"Roasted seasonal vegetables"
230,325,"Steamed broccoli"
231,325,"Beer battered onion rings"
232,326,"Garlic Mashed Potatoes"
233,326,"Roasted seasonal vegetables"
234,326,"Steamed broccoli"
235,326,"Beer battered onion rings"
236,327,"Garlic Mashed Potatoes"
237,327,"Roasted seasonal vegetables"
238,327,"Steamed broccoli"
239,327,"Beer battered onion rings"
240,331,"Hash browns; Biscuit"
241,331,"Grits; Biscuit"
242,331,"Hash browns; Toast"
243,331,"Grits; Biscuits"
244,332,"Toast"
245,332,"Biscuit"
246,333,"Toast"
247,333,"Biscuit"
248,334,"Yogurt"
249,334,"Milk"
250,335,"Organic baby greens"
251,335,"House cut fries"
252,336,"Organic baby greens"
253,336,"House cut fries"
254,337,"Organic baby greens"
255,337,"House cut fries"
256,338,"Organic baby greens"
257,338,"House cut fries"
258,339,"Organic baby greens"
259,339,"House cut fries"
260,340,"Organic baby greens"
261,340,"House cut fries"
262,341,"Organic baby greens"
263,341,"House cut fries"
264,342,"Organic baby greens"
265,342,"House cut fries"
266,343,"Organic baby greens"
267,343,"House cut fries"
268,344,"Organic baby greens"
269,344,"House cut fries"
