OBJECTID,HSISID,Name,Address1,Address2,City,State,PostalCode,PhoneNumber,RestaurantOpenDate,FacilityType,X,Y,GeocodeStatus
3012,04092017103,CHICK-FIL-A #792,6701 FALLS OF NEUSE RD ,,RALEIGH,NC,27615-5373,,2015-12-07T00:00:00.000Z,Restaurant,-78.624042437638,35.8753433059932,M
3013,04092017113,Blaze Pizza #1125,140 CABELA DR ,,GARNER,NC,27529,(919) 772-1021,2015-12-16T00:00:00.000Z,Restaurant,-78.583562100939,35.6979919411742,M
3014,04092110510,SOUTH GARNER HIGH SCHOOL CAFETERIA,8228 HEBRON CHURCH RD ,,GARNER,NC,27529,,2016-07-14T00:00:00.000Z,Public School Lunchrooms,-78.5796806915674,35.6550212483386,M
3015,04092017261,WING STOP,4531-100 NEW BERN AVE ,,RALEIGH,NC,27610,(919) 561-6161,2016-07-22T00:00:00.000Z,Restaurant,-78.5601942562557,35.79845042536,M
3016,04092021575,THE CRESCENT,8003 REGENCY PKY ,,CARY,NC,27518,(919) 462-2025,2009-07-15T00:00:00.000Z,Food Stand,-78.7954080524207,35.7290272162419,M
3017,04092015904,WHOLE FOODS #10338 PREPARED FOODS,8710 SIX FORKS RD ,,RALEIGH,NC,27615,(919) 354-0350,2011-03-11T00:00:00.000Z,Restaurant,-78.650236562762,35.8988915468033,M
3018,04092040253,DEE'S HOT DOGS (WCID #250),112 E HARGETT ST ,,RALEIGH,NC,27602,(919) 832-6232,2011-03-24T00:00:00.000Z,Pushcarts,-78.6376526552562,35.7779345006019,M
3019,04092013878,El Senor,2001 Widewater Pky ,,KNIGHTDALE,NC,27545,(919) 261-0808,2003-08-19T00:00:00.000Z,Restaurant,-78.5051559607241,35.7951167769852,T
3020,04092021228,Subway #31243,5959 Triangle Town BLVD ,,RALEIGH,NC,27616,(919) 792-2491,2003-10-15T00:00:00.000Z,Food Stand,-78.5760386365943,35.8659985579128,M
3021,04092013910,Devils Ridge Golf Club,5107 Linksland Dr ,,HOLLY SPRINGS,NC,27540,(919) 557-6100,2003-10-10T00:00:00.000Z,Restaurant,-78.8013837800419,35.6556289121399,M
3022,04092016253,TEXAS STEAKHOUSE AND SALOON,948 AIRPORT BLVD,,MORRISVILLE,NC,27560-9193,(919) 468-7194,2012-09-25T00:00:00.000Z,Restaurant,-78.8213361706305,35.857508681621,M
3023,04092030313,DICKEY'S BARBECUE PIT (WCID #571),2012 RIVER GROVE LN ,,KNIGHTDALE,NC,27545,,2016-08-22T00:00:00.000Z,Mobile Food Units,-78.5287553487794,35.779403051858,M
3024,04092014617,Pei Wei Asian Diner,4408 Falls of Neuse RD ,,RALEIGH,NC,27609,(919) 227-3810,2006-06-08T00:00:00.000Z,Restaurant,-78.6118828646595,35.8422786133356,M
3025,04092160054,Wake Assisted Living (Kitchen),2800 Kidd RD,,RALEIGH,NC,27610,(919) 231-7575,2006-05-31T00:00:00.000Z,Institutional Food Service,-78.590524498054,35.7787592855191,M
3026,04092015369,BACKYARD BISTRO,1235 HURRICANE ALLEY WAY ,,RALEIGH,NC,27607,(919) 851-6203,2009-04-09T00:00:00.000Z,Restaurant,-78.7255470926311,35.7989666530152,M
3027,04092016120,PANERA BREAD #1641,4325 GLENWOOD AVE ,,RALEIGH,NC,27612-4532,(919) 785-9093,2012-03-27T00:00:00.000Z,Restaurant,-78.6818448283049,35.8418381451242,T
3028,04092021622,Little Caesars #1786,1004 N Raleigh BLVD ,,RALEIGH,NC,27610,(919) 838-0088,2010-08-09T00:00:00.000Z,Food Stand,-78.6129879397908,35.7932151016896,M
3029,04092040244,PNC 306 PUSHCART (WCID #165),1400 EDWARDS MILL RD ,,RALEIGH,NC,27607,(919) 861-2300 ext. 5,2010-09-21T00:00:00.000Z,Pushcarts,-78.7229362924689,35.8032418948571,M
3030,04092016359,DEAN'S SEAFOOD GRILL,1080 DARRINGTON DR ,,CARY,NC,27513,(919) 459-5880,2013-01-23T00:00:00.000Z,Restaurant,-78.8167861019092,35.8003004488556,M
3031,04092016368,Golden Palace,4420 Capital BLVD ,,RALEIGH,NC,27604,(919) 900-7665,2013-02-05T00:00:00.000Z,Restaurant,-78.578997267426,35.8434052789472,M
3032,04092040343,ROLL DOGS EXPRESS #2 (WCID #552),630 LAKESTONE COMMONS AVE ,,FUQUAY-VARINA,NC,27526,,2016-12-12T00:00:00.000Z,Pushcarts,-78.7644339595454,35.5929510425786,M
3033,04092021993,H Mart Don-don,1961 High House RD ,,CARY,NC,27519,(919) 535-5900,2016-12-22T00:00:00.000Z,Food Stand,-78.8486544375501,35.7892162211778,M
3034,04092010101,BURGER KING #3768,4203 WAKE FOREST RD ,,RALEIGH,NC,27609-6228,(919) 872-3797,1991-05-02T00:00:00.000Z,Restaurant,-78.6130777204797,35.8383564359754,M
3035,04092010364,HOOTERS OF RALEIGH,4206 WAKE FOREST RD ,,RALEIGH,NC,27609-6229,(919) 850-9882,1991-05-02T00:00:00.000Z,Restaurant,-78.6115929108684,35.8383303950297,M
3036,04092010093,Buffaloe Lanes,6701 FAYETTEVILLE RD,,RALEIGH,NC,27603-4829,(919) 779-1888,1991-04-02T00:00:00.000Z,Restaurant,-78.683383262715,35.6849609540649,M
3037,04092017515,CHARLIE GRAINGERS,9924 CHAPEL HILL RD ,,CARY,NC,27560,(919) 377-0645,2017-02-05T00:00:00.000Z,Restaurant,-78.8217852334107,35.814990907033,M
3038,04092017527,JORDAN LAKE BREWING COMPANY,320 E DURHAM RD ,,CARY,NC,27513,(919) 694-5096,2017-02-17T00:00:00.000Z,Restaurant,-78.7763634704113,35.7900062620155,M
3039,04092022002,KAT-N-AROUND,2822 NEW BIRCH DR ,STE 106,RALEIGH,NC,27610,(919) 633-9365,2017-02-10T00:00:00.000Z,Food Stand,-78.5988806931779,35.7457071064353,M
3040,04092110073,East Wake Middle Sch. Cafeteria,2700 OLD MILBURNIE RD,,RALEIGH,NC,27604-9540,(919) 266-8513,1991-10-28T00:00:00.000Z,Public School Lunchrooms,-78.501444098739,35.8260788675909,M
3041,04092020352,Sbarro Restaurant,1105 WALNUT ST ,,CARY,NC,27511-4762,(919) 380-9335,1991-10-24T00:00:00.000Z,Food Stand,-78.7602549225608,35.7737701876267,T
3042,04092010699,SUBWAY #168,2808 1/2 Hillsborough St ,,RALEIGH,NC,27607,(919) 834-7407,1991-03-19T00:00:00.000Z,Restaurant,-78.6744615675246,35.7892077430221,M
3043,04092017189,HOMEWOOD SUITES BY HILTON RALEIGH/CRABTREE FOODSERVICE,5400 HOMEWOOD BANKS DR ,,RALEIGH,NC,27612-8071,(919) 785-1131,2016-01-04T00:00:00.000Z,Restaurant,-78.6805747696422,35.8362044256358,M
3044,04092014185,Country Inn & Suites Breakfast Area,201 Airgate DR,,MORRISVILLE,NC,27560,(919) 544-1010,2004-10-29T00:00:00.000Z,Restaurant,-78.8156328681759,35.8636507736122,M
3045,04092021594,PIZZA EXPRESS ,2121 POOLE RD ,,RALEIGH,NC,27610,(919) 231-8882,2009-10-30T00:00:00.000Z,Food Stand,-78.6084865586309,35.7759893029429,M
3046,04092015958,GOLDEN CORRAL # 2501,1420 E BROAD ST ,,FUQUAY VARINA,NC,27526,(919) 552-7604,2011-05-24T00:00:00.000Z,Restaurant,-78.7749702178671,35.5937683733742,M
3047,04092016345,VIVO RISTORANTE,7400 SIX FORKS  RD ,STE 2,RALEIGH,NC,27615,(919) 845-6700,2013-01-24T00:00:00.000Z,Restaurant,-78.6452677855395,35.8815737173795,M
3048,04092014938,Brixx Briercreek,8511 Briercreek PKY ,Ste 101,RALEIGH,NC,27617,(919) 246-0640,2007-08-30T00:00:00.000Z,Restaurant,-78.7833474272368,35.9068507274336,M
3049,04092160067,FALLS RIVER VILLAGE (FOOD SERVICE),1110  FALLS RIVER AVE ,,RALEIGH,NC,27614,(919) 844-9747,2009-01-29T00:00:00.000Z,Institutional Food Service,-78.5873451119069,35.905998104544,M
3050,04092015853,PAPA JOHNS #3855,877 E GANNON AVE ,STE 302,ZEBULON,NC,27597,(919) 421-5555,2010-12-22T00:00:00.000Z,Restaurant,-78.2941852089425,35.8301582755057,M
3051,04092021644,FOOD LION #2199 Meat Market/SEAFOOD,12345 STRICKLAND RD ,,RALEIGH,NC,27613,(919) 846-3589,2011-01-20T00:00:00.000Z,Food Stand,-78.7028126723029,35.905571272373,M
3052,04092021647,WALMART #4484 DELI,8031 OLD WAKE FOREST RD ,,RALEIGH,NC,27616,(919) 424-6235,2011-01-20T00:00:00.000Z,Food Stand,-78.5666653252112,35.8680910712867,M
3053,04092017233,ALOFT RDU REFUEL,10020 SELLONA ST ,,RALEIGH,NC,27617,(919) 957-8523,2016-05-26T00:00:00.000Z,Restaurant,-78.8079049910234,35.8956265933126,M
3054,04092015735,SUSHI O,"222-113 &amp; 117 GLENWOOD AVE ",,RALEIGH,NC,27603,(919) 838-8868,2010-09-27T00:00:00.000Z,Restaurant,0,0,U
3055,04092015800,"Hwy 55 Burgers, Shakes & Fries",4325  GLENWOOD  AVE ,Ste. 2034,RALEIGH,NC,27612,(919) 510-5016,2010-10-21T00:00:00.000Z,Restaurant,-78.6818448283049,35.8418381451242,T
3056,04092015805,NOODLES AND COMPANY #857,8411 BRIER CREEK PKY ,,RALEIGH,NC,27617,(919) 806-1330,2010-11-02T00:00:00.000Z,Restaurant,-78.7833474272368,35.9068507274336,M
3057,04092021383,Harris Teeter #344 Meat/Seafood,6024 Falls of Neuse RD,,RALEIGH,NC,27609,(919) 872-5786,2006-04-10T00:00:00.000Z,Food Stand,-78.6187407956936,35.8662794382365,M
3058,04092016469,TRA'LI,3107 GRACE PARK  DR ,,MORRISVILLE,NC,27560,(919) 651-9083,2013-07-29T00:00:00.000Z,Restaurant,-78.8465232589185,35.8211126241306,M
3059,04092016473,STARBUCKS #75937,500 Fayetteville ST ,,RALEIGH,NC,27601,(919) 334-9894,2013-08-16T00:00:00.000Z,Restaurant,-78.6399755755747,35.7735969803537,M
3060,04092160078,UNIVERSAL HEALTH CARE FUQUAY VARINA DINING,410 S JUDD PKY ,,FUQUAY VARINA,NC,27526,(919) 577-0421,2013-07-30T00:00:00.000Z,Institutional Food Service,-78.7853079438413,35.5804314500935,M
3061,04092015972,BOJANGLES #46,1513 N ARENDELL AVE ,,ZEBULON,NC,27597,(919) 404-2272,2011-05-26T00:00:00.000Z,Restaurant,-78.3265602375383,35.8398227484223,M
3062,04092013831,Cruizers 28,7220 Six Forks Rd ,,RALEIGH,NC,27615,(919) 847-2606,2003-07-09T00:00:00.000Z,Restaurant,-78.645088349012,35.8786543219893,M
3063,04092013835,Starbucks Coffee,125 Weston Pky,,CARY,NC,27513,(919) 677-6104,2003-07-10T00:00:00.000Z,Restaurant,-78.771156556573,35.8269988140853,M
3064,04092110091,Swift Creek Elem. Sch. Cafeteria,5601 TRYON RD ,,RALEIGH,NC,27606-4451,(919) 233-4328,1992-08-20T00:00:00.000Z,Public School Lunchrooms,-78.7339149881921,35.7440007599257,M
3065,04092016614,SUBWAY #14347,150 Fayetteville  ST ,STE 110,RALEIGH,NC,27601,(919) 828-0009,2014-02-03T00:00:00.000Z,Restaurant,-78.6397096209825,35.7787221623404,M
3066,04092016635,RED PEPPER ASIAN,4121 NEW BERN AVE ,STE 109,RALEIGH,NC,27610,(919) 594-1006,2014-02-25T00:00:00.000Z,Restaurant,-78.5652659220836,35.8011422643524,M
3067,04092016636,TORERO'S MEXICAN RESTAURANT,3002 LELAND DR ,,RALEIGH,NC,27616,(919) 217-7883,2014-02-28T00:00:00.000Z,Restaurant,-78.5124108896861,35.8925828684448,M
3068,04092021409,Costco Wholesale #645 Meat Department ,2838 Wake Forest RD ,,RALEIGH,NC,27609,(919) 755-2816,2006-10-24T00:00:00.000Z,Food Stand,-78.6223153937095,35.8182551165456,M
3069,04092014717,Two Guys Grille,4149 Davis DR,,MORRISVILLE,NC,27560,(919) 462-9336,2006-11-02T00:00:00.000Z,Restaurant,-78.8581160249279,35.8356264946466,M
3070,04092016573,WAKE FOREST RENAISSANCE CENTRE,405 S BROOKS ST ,,WAKE FOREST,NC,27587,(919) 435-9566,2013-11-14T00:00:00.000Z,Restaurant,-78.5087581569709,35.9741886590282,M
3071,04092021771,PIZZA HUT #9212,6109 ROCK QUARRY RD ,#120,RALEIGH,NC,27610,(919) 320-0292,2013-12-06T00:00:00.000Z,Food Stand,-78.5485314084781,35.7242756339528,M
3072,04092021683,BRAGAW C-STORE,210 DAN ALLEN DR ,,RALEIGH,NC,27695,(919) 515-3095,2011-07-26T00:00:00.000Z,Food Stand,-78.6787287378212,35.784482781381,M
3073,04092016679,BITTERSWEET,16 E MARTIN ST ,,RALEIGH,NC,27601,(919) 977-3829,2014-04-23T00:00:00.000Z,Restaurant,-78.6400234307904,35.7771425138156,M
3074,04092012994,Sullivans Steak House,414 GLENWOOD AVE ,STE 103,RALEIGH,NC,27603-1365,(919) 833-2888,1999-08-09T00:00:00.000Z,Restaurant,-78.6467350313086,35.7856582417335,M
3075,04092013479,Subway,160 Wakelon St ,,ZEBULON,NC,27597,(919) 269-9293,2001-12-04T00:00:00.000Z,Restaurant,-78.3185838149664,35.8322881155195,M
3076,04092016006,MELLOW MUSHROOM,4300 NW CARY PKY ,,CARY,NC,27513,(919) 463-7779,2011-09-22T00:00:00.000Z,Restaurant,-78.8281457510075,35.7902058621202,M
3077,04092013611,Duke Raleigh Hospital Foodservice,3400 Wake Forest RD ,,RALEIGH,NC,27609-7317,(919) 954-3172,2002-07-10T00:00:00.000Z,Restaurant,-78.6184546419235,35.8284889306229,M
3078,04092016487,PEACE CHINA,13220 Strickland  RD ,Ste 167,RALEIGH,NC,27613,(919) 676-9968,2013-08-14T00:00:00.000Z,Restaurant,-78.7259380990154,35.9087831377034,M
3079,04092016758,RAJBHOG CAFE,3607 DAVIS DR ,STE 111,MORRISVILLE,NC,27560,(919) 585-5333,2014-09-24T00:00:00.000Z,Restaurant,-78.8497624430532,35.8213035747677,M
3080,04092013650,Lowes Foods #189 Deli ,3001 Widewaters Pky ,,KNIGHTDALE,NC,27545,(919) 217-9184,2002-08-28T00:00:00.000Z,Restaurant,-78.5051559607241,35.7951167769852,M
3081,04092021148,Papa John`s,1238 W WILLIAMS ST ,,APEX,NC,27502-3953,(919) 303-9100,2002-09-25T00:00:00.000Z,Food Stand,-78.8726096912922,35.7461777761419,M
3082,04092015156,Dolphin`s,5016 Commons Hill DR ,,CARY,NC,27519,(919) 461-3780,2008-05-29T00:00:00.000Z,Restaurant,-78.872165382611,35.8019941185391,M
3083,04092030127,JONESY'S CONCESSION & CATERING (WCID# 452),4900-A Craftsman DR ,,RALEIGH,NC,27609,(919) 369-7698,2004-12-09T00:00:00.000Z,Mobile Food Units,-78.6055436165786,35.8477179545014,M
3084,04092014223,Manchesters Bar and Grill,9101-153 Leesville Road,,RALEIGH,NC,27613,(919) 676-3310,2005-01-07T00:00:00.000Z,Restaurant,-78.7231821333375,35.8967593686016,T
3085,04092014233,Sheetz,1655 N Main Street,,FUQUAY VARINA,NC,27526,(919) 577-2215,2005-01-26T00:00:00.000Z,Restaurant,-78.7601442576715,35.5969452751737,M
3086,04092030266,PAWS CAFE (WCID #504),711 BEAVER DAM ROAD,,CREEDMOOR,NC,27522,(919) 609-9967,2014-10-02T00:00:00.000Z,Mobile Food Units,-78.6590001309021,36.0511332823507,M
3087,04092016139,"SOLA COFFEE &amp; CAFE",7705 LEAD MINE RD ,,RALEIGH,NC,27615,(919) 803-8983,2012-03-21T00:00:00.000Z,Restaurant,-78.6599846627727,35.8852805040368,M
3088,04092016040,SUBWAY,2010 KILDAIRE FARM  RD ,,CARY,NC,27511,(919) 851-3399,2011-11-08T00:00:00.000Z,Restaurant,-78.782111727189,35.7371759141613,M
3089,04092110146,Highcroft Elementary Cafeteria,5415 Highcroft Dr ,,CARY,NC,27519,(919) 460-3580,2004-07-12T00:00:00.000Z,Public School Lunchrooms,-78.8840897699372,35.8007194002505,M
3090,04092014026,Jersey Mike`s Subs,957 High House Rd,,CARY,NC,27513,(919) 461-0660,2004-04-07T00:00:00.000Z,Restaurant,-78.8282060444441,35.7872524775018,M
3091,04092110496,ROLESVILLE MIDDLE SCHOOL CAFE,4700 BURLINGTON MILLS RD ,,ROLESVILLE,NC,27571,(919) 570-2260,2012-03-07T00:00:00.000Z,Public School Lunchrooms,-78.4808027241071,35.9142912018758,M
3092,04092015275,"Noodles &amp; Company #855",403 DANIELS ST ,,RALEIGH,NC,27605,(919) 755-0282,2008-10-31T00:00:00.000Z,Restaurant,-78.6615733434747,35.7900107902436,M
3093,04092016142,ZOE'S KITCHEN,1017 MARKET CENTER DR ,,MORRISVILLE,NC,27560,(919) 469-3735,2012-03-27T00:00:00.000Z,Restaurant,-78.8167602310106,35.8045437821119,M
3094,04092160080,ZEBULON REHABILITATION CENTER FOOD SERVICE,509 W GANNON AVE.,,ZEBULON,NC,27597,,2014-06-04T00:00:00.000Z,Institutional Food Service,-78.3256956864279,35.8196493929502,M
3095,04092040163,PNC 104 PUSHCART (WCID #119),1400 EDWARDS MILL RD ,,RALEIGH,NC,27607,(919) 861-2300 ext. 5,2005-03-24T00:00:00.000Z,Pushcarts,-78.7229362924689,35.8032418948571,M
3096,04092014372,Panda King,3626 Rogers RD ,,WAKE FOREST,NC,27587,(919) 554-9666,2005-08-24T00:00:00.000Z,Restaurant,-78.5041064041702,35.9451074410045,M
3097,04092015232,BUFFALO WILD WINGS #206,6700 KNIGHTDALE BLVD ,,KNIGHTDALE,NC,27545,(919) 217-2559,2008-09-25T00:00:00.000Z,Restaurant,-78.5046419203979,35.7964499939215,M
3098,04092015233,QDOBA MEXICAN GRILL #203,3101-102 EDWARDS MILL  RD ,,RALEIGH,NC,27612,(919) 781-9220,2008-09-24T00:00:00.000Z,Restaurant,-78.7069521580708,35.8239908704353,M
3099,04092016727,HARRIS TEETER #236 STARBUCKS,7145  O'KELLY CHAPEL RD ,,CARY,NC,27519,(919) 465-9432,2014-08-04T00:00:00.000Z,Restaurant,-78.8882464409833,35.8441513509817,M
3100,04092110486,ROOT ELEMENTARY CAFETERIA,3202 NORTHAMPTON ST ,,RALEIGH,NC,27609,(919) 881-4940,2009-09-14T00:00:00.000Z,Public School Lunchrooms,-78.65043830482,35.8253797239149,M
3101,04092160072, THE OAKS AT MAYVIEW KITCHEN,513 E WHITAKER MILL RD ,,RALEIGH,NC,27608,(919) 828-4348,2009-10-01T00:00:00.000Z,Institutional Food Service,-78.6329627420258,35.8074527767116,M
3102,04092021850,EL RINCONCITO,1105 WALNUT ST ,SUITE FC8,CARY,NC,27511,(919) 378-9696,2015-05-13T00:00:00.000Z,Food Stand,-78.7602549225608,35.7737701876267,T
3103,04092030282,GRANDOTES TACO GRILL (wcid #530),1025 BLUE RIDGE RD ,,RALEIGH,NC,27607,,2015-06-01T00:00:00.000Z,Mobile Food Units,-78.7151434673767,35.7963477011294,M
3104,04092016935,TACO BELL #30930,1125 US HIGHWAY 70 W ,,GARNER,NC,27529,(919) 803-4328,2015-05-21T00:00:00.000Z,Restaurant,0,0,U
3105,04092015151,Namolis NY Pizzeria,5444 Apex Peakway ,,APEX,NC,27502,(919) 303-4888,2008-06-23T00:00:00.000Z,Restaurant,0,0,U
3106,04092110129,Moore Square Museum Middle School Cafeteria,301 S PERSON ST,,RALEIGH,NC,27601-1821,(919) 664-5750,2002-07-08T00:00:00.000Z,Public School Lunchrooms,-78.6342447000917,35.7760974756977,M
3107,04092013646,"Barnes &amp; Noble Book Sellers #2126",5959 Triangle Town Blv, Ste 2107,RALEIGH,NC,27616,(919) 792-2140,2002-08-13T00:00:00.000Z,Restaurant,-78.5760386365943,35.8659985579128,M
3108,04092015567,MY WAY TAVERN,301  W CENTER ST ,,HOLLY SPRINGS,NC,27540,(919) 285-2142,2010-01-29T00:00:00.000Z,Restaurant,-78.8342383920348,35.6509640696027,M
3109,04092015577,AMEDEO`S,3905 WESTERN  BLVD ,,RALEIGH,NC,27606,,2010-03-04T00:00:00.000Z,Restaurant,-78.6904574928151,35.7840543837221,M
3110,04092021139,Kroger #371 Produce ,1371 EAST BROAD STREET ,,FUQUAY VARINA,NC,27526-1966,(919) 567-7423,2002-08-21T00:00:00.000Z,Food Stand,-78.7760464646476,35.5954874545064,M
3111,04092300257,Carlie C's IGA #820 Meat Market,1514 GARNER STATION BLVD ,,RALEIGH,NC,27603,(919) 329-0970,2012-06-01T00:00:00.000Z,Meat Market,-78.6547589547499,35.7258234475018,M
3112,04092017022,1887 BISTRO,2610 CATES AVE ,,RALEIGH,NC,27695,(919) 513-6046,2015-09-04T00:00:00.000Z,Restaurant,-78.6787287378212,35.784482781381,M
3113,04092021605,HARRIS TEETER #422 PRODUCE,120-100 ST ALBANS DR ,,RALEIGH,NC,27607,(919) 781-4165,2010-02-03T00:00:00.000Z,Food Stand,-78.6388710322437,35.8381968676986,M
3114,04092015575,TRIBECA TAVERN,500 LEDGESTONE WAY ,,CARY,NC,27519,(919) 465-3055,2010-02-19T00:00:00.000Z,Restaurant,-78.8480379707273,35.7923068334785,M
3115,04092015576,TROPICAL SMOOTHIE CAFE,8111-157 CREEDMOOR RD ,,RALEIGH,NC,27613,(919) 803-5991,2010-03-03T00:00:00.000Z,Restaurant,-78.6808103540518,35.8975479794956,M
3116,04092014956,Hardee`s #1206,5601 Creedmoor RD ,,RALEIGH,NC,27612,(919) 781-4332,2007-09-14T00:00:00.000Z,Restaurant,-78.6810771229621,35.858141895793,M
3117,04092016188,BURGER KING #6063,1299 N MAIN ST ,,FUQUAY VARINA,NC,27526,(919) 552-1045,2012-05-31T00:00:00.000Z,Restaurant,-78.7787311151312,35.5922088574406,M
3118,04092016194,WEST PARK TAVERN,2734 NC HWY 55 ,,CARY,NC,27519,(919) 303-9300,2012-05-21T00:00:00.000Z,Restaurant,-78.8701655767395,35.7847454687307,M
3119,04092013631,WANG`S KITCHEN,4701 ATLANTIC AVE ,STE 129,RALEIGH,NC,27604,(919) 878-5656,2002-07-23T00:00:00.000Z,Restaurant,-78.6029294341011,35.8480187137196,M
3120,04092014311,115 Midtowne,4421-115 Six Forks RD ,,RALEIGH,NC,27609,(919) 787-8963,2005-05-16T00:00:00.000Z,Restaurant,-78.6425747890683,35.8399272401732,M
3121,04092014377,Earth Fare The Healthy Supermarket Restaurant,10341 Moncreiffe RD,,RALEIGH,NC,27617,(919) 433-1390,2005-08-24T00:00:00.000Z,Restaurant,-78.7921007838202,35.8999627122572,M
3122,04092021823,EDIBLE ARRANGEMENTS #1485,6588 GLENWOOD AVE.,,RALEIGH,NC,27612,(919) 307-4004,2014-12-10T00:00:00.000Z,Food Stand,-78.706097738248,35.8607454411785,M
3123,04092016828,LEVEL UP/VIRGIL'S TAQUERIA,126 S. SALISBURY ST.,,RALEIGH,NC,27601,(919) 833-3866,2014-12-11T00:00:00.000Z,Restaurant,-78.6404138389695,35.7786224134065,M
3124,04092016843,FOUNTAIN DINING HALL,2520 SULLIVAN  DR ,,RALEIGH,NC,27695,(919) 515-3963,2014-12-18T00:00:00.000Z,Restaurant,-78.6787287378212,35.784482781381,M
3125,04092021352,Earth Fare The Healthy Supermarket Produce,10341 Moncreiffe RD ,,RALEIGH,NC,27617,(828) 712-4504,2005-08-24T00:00:00.000Z,Food Stand,-78.7921007838202,35.8999627122572,M
3126,04092016848,CAROLINA ALE HOUSE #GMA,500-300 GLENWOOD AVE.,,RALEIGH,NC,27603,(919) 835-2220,2015-01-08T00:00:00.000Z,Restaurant,-78.6471975738825,35.7862983644457,M
3127,04092030144,Tacos Estilo Hildalgo (Mario Resendiz-Trejo) (WCID # 068),101 Reed ST ,,CARY,NC,27511,(919) 455-3806,2005-11-23T00:00:00.000Z,Mobile Food Units,-78.7629283071677,35.7901479353979,M
3128,04092015470,TIJUANA FLATS #138,1310 E MILLBROOK RD ,,RALEIGH,NC,27609,(919) 790-6409,2009-09-04T00:00:00.000Z,Restaurant,-78.6155752633186,35.8497829383169,M
3129,04092015474,BISCUITVILLE #184,4305 FAYETTEVILLE RD ,,GARNER,NC,27529,(919) 803-8112,2009-09-24T00:00:00.000Z,Restaurant,0,0,U
3130,04092015477,GOODBERRY`S CREAMERY AT CAMERON VILLAGE,2042 CLARK AVE ,,RALEIGH,NC,27603,(919) 833-9998,2009-10-02T00:00:00.000Z,Restaurant,-78.6603502706847,35.7890248665188,M
3131,04092016930,HYATT HOUSE H BAR,160 PARK AT NORTH HILLS  ST ,,RALEIGH,NC,27609,(919) 363-0771,2015-05-22T00:00:00.000Z,Restaurant,-78.6381188488815,35.8363626211873,M
3132,04092015605,WAFFLE HOUSE #1279,7605 KNIGHTDALE BLVD ,,KNIGHTDALE,NC,27545,(919) 217-4112,2010-04-23T00:00:00.000Z,Restaurant,-78.4736754638012,35.8000448805943,M
3133,04092016884,Mi Cancun,6675-105 FALLS OF NEUSE ROAD,,RALEIGH,NC,27615,(919) 977-3355,2015-02-16T00:00:00.000Z,Restaurant,-78.6231327039918,35.874838022651,M
3134,04092016943,WORLD OF BEER,4208-150 SIX FORKS RD ,,RALEIGH,NC,27609,(919) 784-9261,2015-05-15T00:00:00.000Z,Restaurant,-78.6401316490036,35.8363743840863,M
